令和５年,医療施設調査,令和５（２０２３）年１０月１日,
二次医療圏編　第２４表　一般診療所数，在宅療養支援診療所の届出状況・二次医療圏別
,総数,在宅療養支援診療所,,
,,届出施設数,連携保険医療機関等の数,受け持つ在宅療養患者の数
,,,,
4304　鹿本　　　　　　　　,42,9,12,169
4305　菊池　　　　　　　　,137,14,36,200
4306　阿蘇　　　　　　　　,42,8,17,130
4308　八代　　　　　　　　,121,18,42,490
4309　芦北　　　　　　　　,42,7,11,233
4310　球磨　　　　　　　　,80,8,21,163
4311　天草　　　　　　　　,99,17,32,594
4312　熊本・上益城　　　　,718,105,266,4754
44　　大分県　,947,177,423,6843
4401　東部　　　　　　　　,176,34,65,2016
4403　中部　　　　　　　　,465,104,296,3672
4405　南部　　　　　　　　,55,9,15,247
4406　豊肥　　　　　　　　,55,14,18,226
4408　西部　　　　　　　　,70,5,5,162
4409　北部　　　　　　　　,126,11,24,520
45　　宮崎県　,906,105,332,7416
4501　宮崎東諸県　　　　　,414,62,216,5353
4502　都城北諸県　　　　　,139,14,48,1134
4503　延岡西臼杵　　　　　,96,13,22,540
4504　日南串間　　　　　　,60,3,5,13
4505　西諸　　　　　　　　,54,9,34,235
4506　西都児湯　　　　　　,80,3,4,45
4507　日向入郷　　　　　　,63,1,3,96
46　　鹿児島県,1369,272,671,13327
4601　鹿児島　　　　　　　,616,100,300,9434
4603　南薩　　　　　　　　,110,17,23,318
4605　川薩　　　　　　　　,115,25,51,395
4606　出水　　　　　　　　,65,17,31,249
4607　姶良・伊佐　　　　　,190,55,109,1311
4609　曽於　　　　　　　　,54,5,7,60
4610　肝属　　　　　　　　,114,28,69,1054
4611　熊毛　　　　　　　　,24,4,5,53
4612　奄美　　　　　　　　,81,21,76,453
47　　沖縄県　,928,100,346,9780
4701　北部　　　　　　　　,64,6,17,102
4702　中部　　　　　　　　,255,27,76,3479
4703　南部　　　　　　　　,520,54,230,5654
4704　宮古　　　　　　　　,41,8,18,513
4705　八重山　　　　　　　,48,5,5,32
